txn_id,timestamp_utc,payer_id,payee_id,amount_kbr,status,channel,failure_code,device_id,cross_border
TXN-2001,2026-08-20T09:01:00Z,C004,C001,80,FAILED,ussd,INSUFFICIENT_FUNDS,dev-ussd-4,false
TXN-2002,2026-08-20T09:10:00Z,C010,C007,500,FAILED,app,INSUFFICIENT_FUNDS,dev-c010-a,false
TXN-2003,2026-08-20T10:00:00Z,C001,C002,80,SUCCESS,app,,dev-c001-a,false
TXN-2004,2026-08-20T10:00:45Z,C001,C002,80,FAILED,app,DUPLICATE_SUSPECTED,dev-c001-a,false
TXN-2005,2026-08-20T10:05:00Z,C001,C003,80,FAILED,app,TIMEOUT,dev-c001-a,false
TXN-2006,2026-08-20T10:20:00Z,C007,C008,2500,FAILED,app,FRAUD_HOLD,dev-c007-NEW,false
TXN-2007,2026-08-20T10:22:00Z,C003,C011,800,FAILED,app,FRAUD_HOLD,dev-c003-a,false
TXN-2008,2026-08-20T10:30:00Z,C007,C001,8000,FAILED,app,MANUAL_REVIEW,dev-c007-a,false
TXN-2009,2026-08-20T10:35:00Z,C002,,60,FAILED,app,BENEFICIARY_NOT_FOUND,dev-c002-a,false
TXN-2010,2026-08-20T10:40:00Z,C004,C002,200,FAILED,ussd,LIMIT_EXCEEDED,dev-ussd-4,false
TXN-2012,2026-08-20T11:00:00Z,C006,C001,400,FAILED,app,PIN_LOCKED,dev-c006-a,false
TXN-2013,2026-08-20T11:05:00Z,C007,C002,3000,FAILED,app,PIN_LOCKED,dev-c007-a,false
TXN-2015,2026-08-20T11:10:00Z,C005,C001,200,FAILED,app,MANUAL_REVIEW,dev-c005-a,false
TXN-2016,2026-08-20T11:15:00Z,C012,C011,200,FAILED,ussd,TIMEOUT,dev-ussd-12,false
TXN-2018,2026-08-20T11:40:00Z,C001,C011,90,FAILED,app,UNKNOWN,dev-c001-a,false
TXN-2019,2026-08-20T11:50:00Z,C003,C099,400,FAILED,app,MANUAL_REVIEW,dev-c003-a,true
